School_Name,Suburb,School_Sector,Total_Enrolments,Girls_Enrolments,Boys_Enrolments,Diversity
Cambridge Gardens Public School,Bonnyrigg,Government,283,143,140,4
Cambridge Park Public School,Peakhurst,Government,280,124,156,7
Camden Public School,Bonshaw,Government,13,7,6,12
Camdenville Public School,Boolaroo,Government,64,34,30,6
Cameragal Montessori School,Mortdale,Government,294,136,158,5
Cammeray Public School,Booligal,Government,6,3,3,7
Campbelltown East Public School,Boomi,Government,16,10,6,54
Campbelltown Public School,Booragul,Government,204,103,101,22
Candelo Public School,Booral,Government,96,47,49,48
Canley Heights Public School,Boorowa,Government,181,85,96,89
Canobolas Public School,Yowie Bay,Government,441,199,242,47
Canowindra Public School,Boree Creek,Government,29,13,16,31
Canterbury South Public School,Borenore,Government,40,16,24,6
Caragabal Public School,Bossley Park,Government,414,209,205,0
Cardiff North Public School,Cronulla,Government,598,292,306,36
Cardiff Public School,Bourke,Government,200,103,97,5
Caringbah North Public School,Bourke,Government,42,12,30,
Carinya Christian School Gunnedah,Orange,Government,263,126,137,64
Carinya Christian School Tamworth,Peakhurst,Government,309,145,164,33
Carlingford Public School,Bowning,Government,26,11,15,21
Carlton Public School,Bowral,Government,582,282,300,
Carool Public School,Bowraville,Government,185,83,102,6
Carrathool Public School,Bradbury,Government,706,327,379,13
Carroll Public School,Cranebrook,Government,328,148,180,34
Cartwright Public School,Dulwich Hill,Government,480,275,205,6
Casino Public School,Petersham,Government,267,117,150,19
Casino West Public School,Braidwood,Government,351,185,166,5
Cassilis Public School,Branxton,Government,377,179,198,1
Castle Cove Public School,Eastlakes,Government,197,96,101,88
Castle Hill Public School,Breadalbane,Government,10,5,5,13
Castlereagh Public School,Bredbo,Government,13,4,9,5
Casula Public School,Brewarrina,Government,141,61,80,53
Cathedral Catholic Primary School,Woolloomooloo,Government,60,28,32,8
Caves Beach Public School,Bribbaree,Government,10,4,6,30
Cedars Christian College,Bringelly,Government,108,47,61,8
Central Coast Sports College,Broadwater,Government,51,24,27,6
Central Coast Steiner School,Brocklesby,Government,10,6,4,90
Central Mangrove Public School,Broke,Government,62,29,33,87
Central Tilba Public School,Broken Hill,Government,251,109,142,85
Central West Leadership Academy,Broken Hill,Government,155,83,72,17
Cessnock Public School,Brooklyn,Government,75,35,40,24
Cessnock West Public School,Brookvale,Government,341,176,165,9
Chandler Public School,Broulee,Government,369,166,203,67
Chatsworth Island Public School,Croydon,Government,669,346,323,7
Chertsey Primary School,Croydon Park,Government,450,230,220,28
Chester Hill Public School,Daceyville,Government,269,140,129,14
Christ the King Catholic School Bass Hill,Dubbo,Government,384,177,207,45
Chrysalis School for Rudolf Steiner Education,Broken Hill,Government,263,141,122,0
Chullora Public School,Newtown,Government,417,205,212,76
Clairgate Public School,North Parramatta,Government,250,118,132,38
Clare Public School,Paddington,Government,291,146,145,19
Claymore Public School,Woollahra,Government,767,363,404,96
Coffs Harbour Public School,Orange,Government,615,308,307,23
Condell Park Public School,Orange,Government,126,63,63,5
Coonabarabran Public School,Carool,Government,17,8,9,63
Coonamble Public School,Carramar,Government,229,116,113,62
Coopernook Public School,Carrathool,Government,7,3,4,22
Coorabell Public School,Carrington,Government,112,53,59,3
Cooranbong Public School,Carroll,Government,29,14,15,92
Cootamundra Public School,Castle Hill,Government,1021,507,514,27
Copacabana Public School,Cartwright,Government,234,115,119,79
Copmanhurst Public School,Cowan,Government,43,18,25,7
Coraki Public School,Dee Why,Government,490,221,269,82
Coramba Public School,Casino,Government,678,337,341,16
Corindi Public School,Dural,Government,438,215,223,20
Corndale Public School,Casino,Government,224,108,116,6
Corowa South Public School,Cassilis,Government,9,3,6,11
Corpus Christi Primary School,Castle Cove,Government,442,218,224,14
Corrimal Public School,Castlereagh,Government,106,46,60,76
Cowan Public School,Casula,Government,901,417,484,0
Crabbes Creek Public School,Cattai,Government,53,22,31,33
Crescent Head Public School,Caves Beach,Government,415,191,224,3
Cronulla Public School,Cecil Hills,Government,795,395,400,25
Croydon Park Public School,East Lindfield,Government,674,310,364,6
Croydon Public School,Central Mangrove,Government,45,24,21,33
Cudal Public School,Central Tilba,Government,43,18,25,11
Cudgen Public School,Cessnock,Government,318,164,154,31
Culburra Public School,Mosman,Government,609,308,301,74
Culcairn Public School,Cessnock,Government,396,190,206,42
Cundletown Public School,Narrabeen,Government,418,191,227,10
Curl Curl North Public School,Charlestown,Government,309,136,173,82
Curlewis Public School,Neutral Bay,Government,959,471,488,17
Currabubula Public School,Charlestown,Government,146,73,73,85
Currambena Primary School,Newport,Government,775,394,381,44
Curran Public School,Charlestown,Government,233,120,113,40
Currans Hill Public School,Normanhurst,Government,417,198,219,10
Daceyville Public School,Northbridge,Government,519,274,245,77
Dalmeny Public School,North Rocks,Government,846,415,431,71
Dalton Public School,Chatswood,Government,1315,629,686,21
Dapto Public School,Chatsworth,Government,54,29,25,86
Darcy Road Public School,Pennant Hills,Government,565,282,283,12
Dareton Public School,Cherrybrook,Government,903,420,483,63
Darlington Public School,Chester Hill,Government,534,276,258,6
Dee Why Public School,Chester Hill,Government,692,340,352,12
Delegate Public School,North Ryde,Government,420,211,209,43
Delungra Public School,Chillingham,Government,34,16,18,98
Deniliquin North Public School,Chipping Norton,Government,346,169,177,25
Denman Public School,North Turramurra,Government,258,129,129,91
Dobroyd Point Public School,Chittaway Bay,Government,390,171,219,9
Dora Creek Public School,North Rocks,Catholic,325,145,180,30
Drake Public School,Claremont Meadows,Government,564,280,284,13
Drummoyne Public School,Clarence Town,Government,140,69,71,72
Dubbo Christian School,Narraweena,Government,506,258,248,3
Dubbo North Public School,Claymore,Government,293,137,156,81
Dubbo South Public School,Clergate,Government,90,43,47,0
Dudley Public School,Eastwood,Government,777,369,408,0
Dulwich Hill Public School,Clunes,Government,74,36,38,96
Dundurrabin Public School,Coal Point,Government,263,147,116,7
Dunedoo Central School,Mount Colah,Government,467,229,238,12
Dungay Public School,Cobar,Government,233,126,107,5
Dungog Public School,North Narrabeen,Government,725,329,396,72
Dungowan Public School,Cobargo,Government,62,20,42,0
Dural Public School,Cobbitty,Government,315,153,162,26
Duri Public School,Coffee Camp,Government,35,15,20,7
Durrumbul Public School,North Curl Curl,Government,833,396,437,41
E A Southee Public School,Coffs Harbour,Government,461,212,249,73
East Hills Public School,Coleambally,Government,187,92,95,91
Eastlakes Public School,Coledale,Government,148,67,81,80
Eastwood Heights Public School,Collarenebri,Government,82,40,42,36
Eastwood Public School,Collaroy Plateau,Government,619,317,302,49
Ebenezer Christian College,Collector,Government,30,19,11,1
Ebenezer Public School,Collins Creek,Government,9,6,3,72
Eden Public School,Colo Heights,Government,41,21,20,9
Edgeworth Heights Public School,Colo Vale,Government,183,87,96,29
Edward Public School,Mount Druitt,Government,875,421,454,0
Elands Public School,Comboyne,Government,31,18,13,17
Eleebana Public School,Eastwood,Government,523,250,273,3
Elermore Vale Public School,Mount Kuring-Gai,Government,180,95,85,52
Ellalong Public School,Eastwood,Government,790,403,387,25
Ellerston Public School,Conargo,Government,6,0,6,22
Ellison Public School,North Ryde,Government,324,165,159,16
Elonera Montessori School,Concord,Government,274,142,132,69
Eltham Public School,North Epping,Government,477,233,244,2
Emanuel School,Concord West,Government,348,165,183,87
Emmanuel Anglican College,Condell Park,Government,560,263,297,92
Emmaville Central School,Cromer,Government,639,298,341,56
Empire Bay Public School,Condobolin,Government,314,152,162,84
Empire Vale Public School,Collaroy Plateau,Government,478,231,247,88
Emu Heights Public School,Condong,Government,63,25,38,66
Emu Plains Public School,North Ryde,Government,552,260,292,58
Enfield Public School,Congewai,Government,16,10,6,0
Engadine West Public School,Coniston,Government,201,87,114,33
Ermington Public School,Coolah,Government,228,113,115,24
Erskineville Public School,Coolamon,Government,304,165,139,73
Eschol Park Public School,Coolongolook,Government,29,15,14,47
Euabalong West Public School,Cooma North,Government,308,144,164,51
Eugowra Public School,Cooma,Government,251,100,151,7
Eumungerie Public School,Coonabarabran,Government,264,120,144,60
Eureka Public School,Coonamble,Government,183,84,99,50
Euston Public School,Coopernook,Government,38,23,15,24
Excelsior Public School,Coorabell,Government,121,52,69,49
Fairfax Public School,Cooranbong,Government,240,124,116,95
Fairfield Public School,Cootamundra,Government,302,148,154,69
Fairfield West Public School,Copacabana,Government,352,169,183,12
Fairvale Public School,Davidson,Government,223,87,136,67
Fairy Meadow Public School,Copmanhurst,Government,62,31,31,14
Falls Creek Public School,Cherrybrook,Government,644,303,341,37
Farmborough Road Public School,Coraki,Government,43,25,18,1
Farmhouse Montessori School,Castle Hill,Government,755,354,401,6
Fassifern Public School,Coramba,Government,44,17,27,10
Faulconbridge Public School,Castle Hill,Government,760,355,405,11
Fennell Bay Public School,Corindi Beach,Government,186,96,90,14
Ferncourt Public School,Corndale,Government,21,13,8,8
Fernleigh Public School,Corowa,Government,226,99,127,27
Figtree Heights Public School,Corowa,Government,49,25,24,8
Figtree Public School,St Ives,Catholic,166,83,83,35
Finley Public School,Corrimal,Government,240,112,128,19
Five Dock Public School,Corrimal,Government,230,115,115,16
Flinders Public School,Coutts Crossing,Government,72,33,39,6
Floraville Public School,Eastwood,Government,907,440,467,43
Forbes North Public School,Cowper,Government,21,13,8,12
Forbes Public School,Mosman,Government,668,325,343,47
Forest Hill Public School,Cowra,Government,389,188,201,19
Forest Lodge Public School,Crabbes Creek,Government,34,18,16,22
Forestville Montessori School,Doonside,Government,468,215,253,4
Forestville Public School,Crescent Head,Government,183,94,89,24
Fort Street Public School,Cringila,Government,129,68,61,0
Fr John Therry Catholic Primary School Balmain-Rozelle,Crookwell,Government,195,78,117,62
Frank Partridge VC Public School,Croppa Creek,Government,15,8,7,10
Franklin Public School,Crossmaglen,Government,21,11,10,32
Frederickton Public School,Crystal Creek,Government,82,37,45,33
Freemans Reach Public School,Cudal,Government,75,34,41,85
Frenchs Forest Public School,Mudgee,Government,550,281,269,1
Galilee Catholic Primary School,Cudgen,Government,181,86,95,16
Galstaun College,Culburra Beach,Government,179,71,108,6
Galston Public School,Culcairn,Government,114,48,66,49
Ganmain Public School,Cullen Bullen,Government,21,8,13,8
Garah Public School,Cumnock,Government,46,18,28,12
Garden Suburb Public School,Cundletown,Government,337,155,182,1
Gardeners Road Public School,Curlewis,Government,48,26,22,54
Georges Hall Public School,Currabubula,Government,23,9,14,11
Gerogery Public School,Currans Hill,Government,578,289,289,38
Gerringong Public School,Dalgety,Government,11,4,7,49
Gib Gate School,Dalton,Government,11,4,7,26
Gillieston Public School,Dareton,Government,55,23,32,32
Gillwinga Public School,Darlington Point,Government,59,27,32,0
Girraween Public School,Dharruk,Government,299,145,154,35
Gladesville Public School,Deepwater,Government,19,10,9,5
Gladstone Public School,Delegate,Government,36,22,14,13
Glebe Public School,Delungra,Government,34,10,24,16
Glen Alice Public School,Deniliquin,Government,172,81,91,28
Glen Innes Public School,Deniliquin,Government,263,126,137,92
Glen Innes West Infants School,Denman,Government,159,79,80,22
Glen William Public School,Doonside,Government,269,133,136,79
Glenaeon Rudolf Steiner School,Dora Creek,Government,109,54,55,63
Glenbrook Public School,Dorrigo,Government,103,47,56,0
Glendale East Public School,Doubtful Creek,Government,13,8,5,44
Glendenning Public School,Douglas Park,Government,129,56,73,3
Glendore Public School,Drake,Government,18,8,10,53
Glenhaven Public School,Dubbo,Government,258,124,134,0
Glenmore Park Public School,Panania,Government,466,231,235,38
Glenmore Road Public School,Dubbo,Government,539,260,279,0
Glenquarry Public School,Dubbo,Government,346,152,194,25
Glenroi Heights Public School,Dubbo,Government,660,331,329,7
Glenwood Public School,Dubbo,Government,389,180,209,43
Gloucester Public School,Dudley,Government,262,121,141,3
Good Shepherd Catholic Primary School,Dundas,Government,379,173,206,11
Goodooga Central School,Dundurrabin,Government,27,6,21,2
Goolma Public School,Dunedoo,Government,157,75,82,27
Gooloogong Public School,Dungay,Government,88,43,45,18
Goonengerry Public School,Dungog,Government,281,143,138,0
Gordon West Public School,Dungowan,Government,22,10,12,49
Gosford East Public School,Dunoon,Government,85,39,46,13
Goulburn North Public School,Duranbah,Government,57,27,30,16
Goulburn South Public School,Duri,Government,37,21,16,28
Governor Philip King Public School,Durrumbul,Government,21,10,11,20
Grahamstown Public School,Cootamundra,Government,98,48,50,88
Granville South Public School,Panania,Government,173,85,88,41
Gravesend Public School,Concord,Government,402,191,211,16
Grays Point Public School,Eastern Creek,Government,299,159,140,4
Green Point Christian College,Mount Pritchard,Government,361,170,191,7
Green Valley Islamic College,Narellan,Government,329,153,176,33
Green Valley Public School,Oakdale,Government,141,62,79,7
Greenacre Public School,Ebenezer,Government,143,67,76,13
Greenway Park Public School,Ebor,Government,15,6,9,19
Greenwell Point Public School,Padstow,Government,370,180,190,2
Greenwich Public School,Eden,Government,279,136,143,42
Grenfell Public School,Picton,Government,373,187,186,0
Gresford Public School,Picton,Government,373,187,186,39
Greta Public School,Edensor Park,Government,279,134,145,14
Guildford Public School,Deniliquin,Government,134,63,71,21
Gunnedah Public School,North Strathfield,Government,526,254,272,5
Gymea North Public School,Yanderra,Government,38,19,19,7
Hanwood Public School,Yagoona,Government,556,247,309,39
Hargraves Public School,Narwee,Government,293,149,144,33
Harrington Park Public School,Padstow,Government,381,169,212,12
Hassall Grove Public School,Yennora,Government,234,119,115,43
Heathcote East Public School,Panania,Government,389,196,193,4
Herons Creek Public School,Padstow,Government,356,169,187,30
Highfields Preparatory and Kindergarten School,Castle Hill,Government,560,280,280,5
Hills Montessori School,Panania,Government,205,110,95,5
Hillside Public School,Mount Pritchard,Government,244,102,142,93
Holy Family Parish School,Picnic Point,Government,409,200,209,30
Holy Name Primary School,Moorebank,Government,438,197,241,0
Holy Spirit Infants School,Nambucca Heads,Government,216,100,116,43
Hoxton Park Public School,Moorebank,Government,626,327,299,3
Illabo Public School,Bossley Park,Government,441,202,239,53
International Grammar School,Mount Annan,Government,753,392,361,21
International Maarif Schools of Australia - Gallipoli Campus,Clarence Town,Government,26,12,14,26
Ironbark Ridge Public School,Narellan Vale,Government,803,408,395,0
Islington Public School,Carnes Hill,Government,757,349,408,27
Jamberoo Public School,Newington,Government,872,415,457,63
Jerilderie Public School,Orange,Government,232,114,118,27
Jerrys Plains Public School,North Albury,Government,190,100,90,35
Johns River Public School,East Gosford,Government,368,172,196,7
Kent Road Public School,Diamond Beach,Government,290,159,131,14
Kentlyn Public School,Broadmeadow,Government,166,82,84,8
Kingsgrove Public School,Cranebrook,Government,428,230,198,0
Kinma School,Dorrigo,Government,6,3,3,17
Kitchener Public School,East Kurrajong,Government,68,35,33,4
Kootingal Public School,Charlestown,Government,268,128,140,3
Krambach Public School,Central Macdonald,Government,17,10,7,7
Kyogle Public School,Mount Victoria,Government,69,38,31,28
Ladysmith Public School,Mulgoa,Government,78,37,41,47
Laguna Public School,Northmead,Government,726,354,372,6
Laguna Street Public School,Cowra,Government,55,26,29,0
Lake Albert Public School,Oakville,Government,444,206,238,10
Lake Cargelligo Central School,Orchard Hills,Government,134,61,73,4
Lake Illawarra South Public School,Woollahra,Catholic,258,134,124,4
Lake Munmorah Public School,Parramatta,Government,1142,553,589,0
Lakelands Public School,North Parramatta,Government,433,209,224,15
Lakes Grammar - An Anglican School,Parramatta,Government,882,408,474,66
Lambton Public School,Penrith,Government,464,207,257,7
Lane Cove Public School,Lindfield,Catholic,219,112,107,63
Lane Cove West Public School,Pitt Town,Government,280,135,145,3
Larnook Public School,Granville East,Catholic,290,146,144,62
Laurieton Public School,North Richmond,Government,238,122,116,38
Leura Public School,North Ryde,Catholic,452,230,222,4
Lilli Pilli Public School,St Clair,Catholic,356,196,160,75
Lindfield Montessori Preschool,Granville,Catholic,201,104,97,11
Lisarow Public School,Parramatta,Government,618,290,328,44
Loftus Public School,Broadmeadow,Government,1131,836,295,6
Loreto Kirribilli,Oatlands,Government,217,97,120,30
Lowesdale Public School,Penrith,Government,523,251,272,2
Luddenham Public School,North Nowra,Government,554,283,271,58
Lue Public School,Dundas Valley,Government,128,47,81,4
Lumen Christi Catholic College,Blacktown,Government,498,223,275,23
Lynwood Park Public School,North St Marys,Government,379,185,194,62
Macarthur Adventist College,Acacia Gardens,Government,720,338,382,39
MacKillop Catholic College,Woodville,Government,48,22,26,0
Macksville Adventist School,Blacktown,Government,241,124,117,19
Madang Avenue Public School,Mount Druitt,Government,557,277,280,28
Maimuru Public School,Blacktown,Government,602,290,312,14
Maitland East Public School,Blacktown,Government,341,156,185,44
Mallawa Public School,Penrith,Government,135,67,68,5
Manly Village Public School,Blacktown,Government,555,253,302,13
Maria Regina Catholic Primary School,Wyong,Government,61,25,36,0
Maronite College of the Holy Family - Parramatta,Mount Riverview,Government,216,108,108,97
Marra Creek Public School,Stanhope Gardens,Catholic,767,380,387,63
McAuley Catholic Central School,Cranebrook,Government,555,278,277,74
Meadowbank Public School,Dean Park,Government,321,158,163,2
Middleton Public School,Dapto,Government,220,121,99,21
Moama Anglican Grammar School,Dapto,Government,327,170,157,7
Morisset Public School,Cessnock,Government,249,126,123,95
Mount George Public School,Pambula Beach,Catholic,747,404,343,91
Mount Pritchard East Public School,East Maitland,Government,535,230,305,73
Mount Riverview Public School,Moree,Government,11,7,4,7
Mount Terry Public School,Pelican,Government,65,34,31,8
Mulyan Public School,Morisset,Government,199,100,99,5
Mumbulla School for Rudolf Steiner Education,Morpeth,Government,232,118,114,19
Mummulgum Public School,Osterley,Government,34,16,18,17
Murray Farm Public School,Mulbring,Government,57,27,30,19
Murringo Public School,Murrurundi,Government,55,29,26,9
Murrumburrah Public School,Nyngan,Government,7,5,2,13
Murrurundi Public School,Muswellbrook,Government,548,287,261,27
Muswellbrook South Public School,Newcastle,Government,254,115,139,62
Nabiac Public School,New Lambton,Government,680,322,358,36
Nambucca Heads Public School,Nords Wharf,Government,160,81,79,47
Nambucca Valley Christian Community School,Nulkaba,Government,392,186,206,58
Namoi Valley Christian School,Ourimbah,Government,409,186,223,98
Nana Glen Public School,Armidale,Government,165,76,89,1
Nangus Public School,Paterson,Government,122,53,69,2
Naradhan Public School,Paxton,Government,55,21,34,93
Nareena Hills Public School,Peats Ridge,Government,20,12,8,97
Narellan Vale Public School,Pelaw Main,Government,195,98,97,6
New Lambton Public School,Deniliquin,Government,27,12,15,3
Nimmitabel Public School,Wyee,Government,211,101,110,0
Norfolk Island Central School,Wyong,Government,472,219,253,5
Normanhurst West Public School,Wyong Creek,Government,91,41,50,0
North Nowra Public School,New Lambton,Government,484,246,238,11
North Star Public School,Muswellbrook,Government,558,253,305,8
Northbridge Public School,Parkes,Government,202,101,101,9
Northern Beaches Christian School,Mount Hutton,Government,160,74,86,9
Oak Flats Public School,Moorland,Government,22,7,15,0
Oakdale Public School,Moree,Government,148,77,71,8
Oaklands Central School,Moree,Government,571,277,294,87
Oakville Public School,Broken Hill,Government,308,154,154,95
Oatlands Public School,Woy Woy,Government,521,251,270,18
Oatley Public School,Moruya,Government,331,154,177,13
Oatley West Public School,Wyoming,Government,373,186,187,81
Oberon Public School,Moss Vale,Government,503,231,272,0
Ocean Shores Public School,Moulamein,Government,59,31,28,11
O'Connell Public School,Niagara Park,Government,555,278,277,0
Old Bar Public School,Woodberry,Government,218,102,116,71
Old Bonalbo Public School,Mount Austin,Government,235,116,119,75
Old Guildford Public School,Dapto,Government,388,177,211,23
Orama Public School,Wyoming,Government,324,173,151,65
Oran Park Anglican College,Mount George,Government,22,9,13,3
Orana Heights Public School,Mount Keira,Government,96,42,54,42
Orange Anglican Grammar School,Mount Kembla,Government,115,61,54,6
Our Lady Help of Christians Catholic Primary School,Woongarrah,Government,487,249,238,93
Our Lady of Dolours Catholic Primary School,Mudgee,Government,677,318,359,0
Our Lady of Fatima Catholic Primary School,Mullaley,Government,45,17,28,93
Our Lady of Fatima Catholic Primary School,Mullaway,Government,260,128,132,35
Our Lady of Good Counsel Catholic Primary School,Mullion Creek,Government,56,24,32,66
Our Lady of Lourdes Catholic Primary School,Mullumbimby,Government,219,98,121,25
Our Lady of Lourdes Primary School,Cowra,Government,294,145,149,8
Our Lady of Lourdes Primary School,Mulwala,Government,59,37,22,12
Our Lady of Mount Carmel Primary School,Mumbil,Government,12,5,7,46
Our Lady of Mt Carmel Catholic Primary School Mount Pritchard,Mummulgum,Government,16,7,9,84
Our Lady of Perpetual Succour Catholic Primary School,Woy Woy,Government,449,207,242,14
Our Lady of the Angels Primary School,Mungindi,Government,72,39,33,13
Our Lady of the Annunciation Catholic Primary School,Murringo,Government,44,20,24,0
Our Lady of the Assumption Catholic Primary School,Murrumburrah,Government,180,88,92,29
Our Lady of The Nativity Primary School,Murwillumbah,Government,236,117,119,6
Our Lady of the Rosary Catholic Primary School,Murwillumbah,Government,286,155,131,21
Our Lady of the Rosary Catholic Primary School,Nabiac,Government,217,98,119,6
Our Lady of the Rosary Catholic Primary School,Nambucca Heads,Government,307,151,156,39
Our Lady of the Rosary Catholic Primary School,Nana Glen,Government,143,72,71,80
Our Lady of the Rosary Catholic Primary School,Nangus,Government,22,13,9,36
Our Lady of The Rosary Primary School,Naradhan,Government,11,4,7,24
Our Lady of the Sacred Heart Catholic Primary School,Narooma,Government,408,178,230,11
Our Lady of The Way Primary School,Narrabri,Government,394,193,201,45
